10754,dth,Adithinngithigh,Adetingiti,Dormant (),No known L1 speakers,Pama-Nyungan; Paman,,"""According to Sutton (2001:459), this is a member of Northern Paman, and it is separate from Arraythinngith."" (AUSTLANG)",,Australia;,Australia,"-12.887711, 141.717248"
3593,adt,Adnyamathanha,Adynyamathanha; Wailpi; Wailbi; Waljbi; Wipie; Ad'n'amadana; Anjimatana; Anjiwatana; Archualda; Benbakanjamata; Binbarnja; Gadjnjamada; Jandali; Kanjimata; Keydnjmarda; Mardala; Nimalda; Nuralda; Unyamootha; Umbertana; Adnyamathana; Anjamutina; Anyamatana; Kudnamietha; Kutchamoota; Keydnjamarda; Mardula; Nimbalda; Nimbaldi; Atnyamathanha;,"Endangered (20 percent certain, based on the evidence available)",100,Pama-Nyungan; Thura-Yura,,,,Australia;,Australia,"-30.83714135,139.1215397"
6661,gtu,Aghu-Tharnggala,Aghu Tharnggalu; Kuku-Mini; Ikarranggali; Aghu-Tharrnggala; Aghu; Agu-Tarnggele; Aku-Danggela; Darnggele; Darnggelle; Aghu Tharnggala; Gogo Mini;,Dormant (),0?,Pama-Nyungan; Paman,,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",,Australia;,Australia,"-15.11729919, 145.810382"
3334,wmi,Agwamin,Ak Waumin; Ak-Waumin; Egwamin; Ewamin; Gwamin; Wailoolo; Walamin; Walming; Waumin; Wawmin; Wimanja; Wommin; Wakaman; Warkaman; Warkeeman; Warkamin; Warkeemon;Wamin;,"Critically Endangered (80 percent certain, based on the evidence available)",1,Pama-Nyungan; Paman,,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",,Australia;,Australia,"-17.83386864,144.2350367"
3832,alh,Alawa,Alaua; Allaura; Allawa; Allowa; Allowiri; Allua; Alowa; Galawa; Galleewo; Kallana; Kallaua; Leealowa; Warliburru;,"Critically Endangered (60 percent certain, based on the evidence available)",17,Gunwinyguan; Maran,,,,Australia;,Australia,"-15.53391918,134.2028228"
3693,aid,Alngith,Alngidh; Alingid; Laynngithy; Lengiti; Lenngiti; Alngid; Limrett; Laynngith; Winduwinda; Alingit; Alŋit̯; Laynŋit̯;,"Critically Endangered (20 percent certain, based on the evidence available)",3,Pama-Nyungan; Paman,,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",,Australia;,Australia,"-12.57310489,141.8691543"
5249,aly,Alyawarr,Alyawarra; Alyawarre; Aljawara; Iliaura; Yowera; Illiaura; Iljaura; Ilyuarra; Illyowra; Aliawara; Aliwara; Alja:wara; Yalyuwara; Alyawara; Jaljuwara; Ilawara; Ilja:wara; Iljauara; Iljawara; Illaura; Illura; Iloura; Ilyauarra; Ilyaurra; Ilyawara; Ilyowra; Ilywara;,"Vulnerable (100 percent certain, based on the evidence available)","1,664",Pama-Nyungan; Arandic,,,,Australia;,Australia,"-22.29152242,135.9637093"
1382,amg,Amurdak,Wureidbug; Amurag;  A'moordiyu; Amarak; Amardak; Amurdag; Amurrag; Amurrak; Amurtak; Amuruk; Mamurug; Monobar; Namurug; Nga:mr:rak; Nga:mu:rak; Ngamurag; Ngamurak; Umoreo; Umoriu; Umorrdak; Wardadjbak; Woraidbug;Amarag;,"Critically Endangered (20 percent certain, based on the evidence available)",3-May,Iwaidjan,Gidjurra; Urrirrk;,,,Australia;,Australia,"-11.149603,132.576973"
5448,ajn,Andajin,Andidja;,"Critically Endangered (20 percent certain, based on the evidence available)",2,Worrorran; Southern Worrorran,,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",,Australia;,Australia,"-17.37660823,126.2592854"
2025,aoi,Anindilyakwa,Amakurupa; Andilagwa; Andiljangwa; Andiljaugwa; Andiljaukwa; Andilyaugwa; Anindhilyakwa; Anindilyaugwa; Aninhdhilyagwa; Awarikpa; En Indiljaugwa; Enindhilyagwa; Enindiljaugwa; Eninhdhilyagwa; Groote Eylandt; Ingura; Lamadalpu; Wani-Ndiljaugwa; Wanindilyaugwa; Wanindilyaugwa Ingura; Warnindilyakwa;,"Threatened (20 percent certain, based on the evidence available)","~1,500",Gunwinyguan; East Arnhem,,,,Australia;,Australia,"-14.05312996,136.6124148"
